"loc_id";"ciclovia_rango_inv_proy";"highway_rango_inv_proy";"censo2_rango_proy";"green_areas_rango_inv_proy";"mall_rango_inv_proy";"school_rango_inv_proy";"sport_rango_inv_proy";"tourism_rango_inv_proy";"ues_rango_inv_proy";"X";"Y";"optional"
1;0.997970759868622;0.979908347129822;0.473918199539185;0.997161090373993;0.983441591262817;0.856675744056702;0.981193840503693;0.973858118057251;0.874550938606262;-73.05425536;-36.83460868;TRUE
2;0.998853623867035;0.956194162368774;0.482568830251694;0.998088121414185;0.977072358131409;0.871413230895996;0.961299479007721;0.977927029132843;0.884552240371704;-73.05355071;-36.83437468;TRUE
3;0.99862402677536;0.957492411136627;0.490357995033264;0.99763822555542;0.969205379486084;0.888467490673065;0.942941069602966;0.974253356456757;0.892909646034241;-73.05293546;-36.83420114;TRUE
4;0.999006807804108;0.949839353561401;0.497899323701859;0.998295247554779;0.959473013877869;0.906348943710327;0.92303854227066;0.963564574718475;0.899382650852203;-73.0522387;-36.83401447;TRUE
5;0.999694764614105;0.93313729763031;0.503811657428741;0.999510109424591;0.94934743642807;0.922466099262238;0.90364021062851;0.971588790416718;0.902071714401245;-73.05157297;-36.83387516;TRUE
6;0.998908996582031;0.916208386421204;0.510839819908142;0.99870365858078;0.939053773880005;0.938526213169098;0.891896426677704;0.986555695533752;0.903560876846313;-73.05091135;-36.83370158;TRUE
7;0.999399900436401;0.918983101844788;0.517801761627197;0.999083638191223;0.927695691585541;0.953053891658783;0.911474466323853;0.992127895355225;0.915459752082825;-73.05018827;-36.83351317;TRUE
8;0.998295962810516;0.918025314807892;0.526045083999634;0.998579442501068;0.918432176113129;0.963560581207275;0.929487466812134;0.980903089046478;0.926481127738953;-73.04955431;-36.83327025;TRUE
9;0.997676372528076;0.918247938156128;0.535200119018555;0.997433304786682;0.921672999858856;0.967321455478668;0.949637234210968;0.963696539402008;0.93745082616806;-73.04889485;-36.83299657;TRUE
10;0.99752402305603;0.925590097904205;0.541528105735779;0.998357534408569;0.92267781496048;0.968057155609131;0.964938282966614;0.965288937091827;0.943116307258606;-73.0482321;-36.83272619;TRUE
11;0.997499644756317;0.926894426345825;0.549127757549286;0.997625350952148;0.922933578491211;0.97893100976944;0.976255834102631;0.963247120380402;0.945336878299713;-73.04755286;-36.83243274;TRUE
12;0.997405648231506;0.919741690158844;0.55425089597702;0.997132122516632;0.921380221843719;0.99184912443161;0.974491119384766;0.956671833992004;0.941895186901093;-73.04695961;-36.83217916;TRUE
13;0.997973263263702;0.919993877410889;0.558589816093445;0.997787058353424;0.918476700782776;0.992146015167236;0.962189555168152;0.960744440555573;0.934547483921051;-73.04636067;-36.83192187;TRUE
14;0.998612284660339;0.922836780548096;0.560683965682983;0.999126195907593;0.914555072784424;0.984718561172485;0.94744211435318;0.960281252861023;0.925229728221893;-73.04579547;-36.83172363;TRUE
15;0.997358441352844;0.926803112030029;0.566404938697815;0.997018992900848;0.911001741886139;0.992796063423157;0.929997742176056;0.954958438873291;0.914131820201874;-73.04513325;-36.8314579;TRUE
16;0.997203290462494;0.921099603176117;0.570970118045807;0.997258186340332;0.907886743545532;0.996874392032623;0.909789323806763;0.952983438968658;0.899966955184937;-73.04445417;-36.83115421;TRUE
17;0.996098697185516;0.921055734157562;0.577492952346802;0.994038105010986;0.904943466186523;0.990860939025879;0.913615584373474;0.945229470729828;0.887584209442139;-73.04391849;-36.83083787;TRUE
18;0.997598886489868;0.931643009185791;0.583779036998749;0.994621872901917;0.902127683162689;0.976500630378723;0.926503539085388;0.934150218963623;0.882649540901184;-73.04329846;-36.83051731;TRUE
19;0.998007118701935;0.934393048286438;0.591090261936188;0.992248117923737;0.903841316699982;0.958457887172699;0.93587189912796;0.925429701805115;0.899429976940155;-73.04269108;-36.83022205;TRUE
20;0.998225092887878;0.9384765625;0.600193083286285;0.968013346195221;0.906191825866699;0.938763022422791;0.94145542383194;0.942261517047882;0.917164325714111;-73.04206683;-36.82984244;TRUE
